month;day;radiation_mean(MJ/m^2)
1;1;1.2
1;2;1.6
1;3;1.5
1;4;1.6
1;5;1.6
1;6;1.3
1;7;1.1
1;8;1.3
1;9;1.1
1;10;1.2
1;11;1.5
1;12;1.7
1;13;1.3
1;14;1.5
1;15;1.2
1;16;1.4
1;17;0.9
1;18;1
1;19;1.2
1;20;1.3
1;21;2.2
1;22;2.1
1;23;1.5
1;24;1.5
1;25;2.3
1;26;2.2
1;27;2.3
1;28;2.1
1;29;2.5
1;30;2.4
1;31;2.4
2;1;2.3
2;2;2.6
2;3;3.3
2;4;3
2;5;2.2
2;6;2.1
2;7;3
2;8;2.7
2;9;3.8
2;10;4.2
2;11;3.5
2;12;3.2
2;13;3.7
2;14;4.4
2;15;4.4
2;16;3.1
2;17;3.9
2;18;4.2
2;19;4.2
2;20;4.6
2;21;4.5
2;22;3.5
2;23;4.4
2;24;5.2
2;25;5.1
2;26;5
2;27;4.8
2;28;4.8
3;1;3.9
3;2;4.6
3;3;6.6
3;4;8.7
3;5;8.6
3;6;6.9
3;7;6.6
3;8;7.5
3;9;5.7
3;10;6.8
3;11;6
3;12;7.4
3;13;7.6
3;14;9.9
3;15;9
3;16;8.3
3;17;9.2
3;18;9.5
3;19;8.4
3;20;11
3;21;9.3
3;22;10.4
3;23;10.6
3;24;10.8
3;25;13.9
3;26;12.7
3;27;11.2
3;28;12.3
3;29;10.5
3;30;11.9
3;31;12.2
4;1;11.2
4;2;12.8
4;3;13.5
4;4;11.8
4;5;12
4;6;11.5
4;7;12.9
4;8;10
4;9;13
4;10;15.4
4;11;14.3
4;12;12.6
4;13;13.3
4;14;16.6
4;15;16.6
4;16;16
4;17;14.2
4;18;15
4;19;15.3
4;20;16.6
4;21;18.7
4;22;19
4;23;14
4;24;18.4
4;25;17.1
4;26;12.9
4;27;12.6
4;28;17.1
4;29;16
4;30;14.3
5;1;13.5
5;2;18
5;3;16.9
5;4;16.4
5;5;18.7
5;6;18.8
5;7;15
5;8;18.9
5;9;19.9
5;10;20.8
5;11;20.2
5;12;17.2
5;13;18.7
5;14;18
5;15;18.5
5;16;12.8
5;17;18.4
5;18;20.1
5;19;13.6
5;20;18.1
5;21;17.9
5;22;20
5;23;19.5
5;24;17.2
5;25;21
5;26;18.4
5;27;22
5;28;18.2
5;29;20
5;30;19.5
5;31;21.8
6;1;21.5
6;2;22.4
6;3;22.9
6;4;22
6;5;21.5
6;6;21
6;7;20.9
6;8;24.6
6;9;20.5
6;10;18.5
6;11;18.9
6;12;19.5
6;13;20.8
6;14;21.7
6;15;19.6
6;16;19.3
6;17;20.8
6;18;21.9
6;19;19
6;20;20.4
6;21;19.4
6;22;18.6
6;23;20.6
6;24;20.4
6;25;18.3
6;26;20
6;27;20.4
6;28;19.7
6;29;18.6
6;30;21.8
7;1;20.4
7;2;22.7
7;3;22.1
7;4;21.6
7;5;19.8
7;6;16.6
7;7;20.5
7;8;19.9
7;9;21.2
7;10;20.7
7;11;17.1
7;12;20.2
7;13;18.6
7;14;20.3
7;15;20.4
7;16;22.3
7;17;20.9
7;18;16.5
7;19;18.5
7;20;21.9
7;21;15.1
7;22;13.8
7;23;16.6
7;24;16.1
7;25;18.3
7;26;18.7
7;27;18.8
7;28;18.2
7;29;19.2
7;30;16.9
7;31;19.5
8;1;19.7
8;2;13.6
8;3;13.3
8;4;17.1
8;5;19.7
8;6;20.1
8;7;20.5
8;8;17
8;9;17.9
8;10;13.4
8;11;14.2
8;12;9.8
8;13;13.3
8;14;15.2
8;15;13.7
8;16;15.1
8;17;14.4
8;18;14.9
8;19;16
8;20;15.5
8;21;11.2
8;22;15.9
8;23;12.2
8;24;13.9
8;25;13.1
8;26;13.5
8;27;11.3
8;28;13.5
8;29;14.1
8;30;13
8;31;13.7
9;1;14.2
9;2;12.2
9;3;12.9
9;4;13.9
9;5;14
9;6;12.8
9;7;12.6
9;8;14
9;9;12.9
9;10;10.2
9;11;11.8
9;12;10.6
9;13;12
9;14;11.7
9;15;11.8
9;16;11.2
9;17;11.1
9;18;8.7
9;19;9.4
9;20;8
9;21;8.9
9;22;8.8
9;23;10.7
9;24;10.5
9;25;9.1
9;26;7.6
9;27;8.2
9;28;6.3
9;29;7.1
9;30;8.4
10;1;7.4
10;2;7.1
10;3;7.1
10;4;7.5
10;5;7.5
10;6;8.4
10;7;7
10;8;6.2
10;9;7.7
10;10;6.5
10;11;6.6
10;12;6.6
10;13;7.7
10;14;6.2
10;15;6.3
10;16;4.9
10;17;5.4
10;18;5
10;19;5.4
10;20;4.6
10;21;3.9
10;22;3.6
10;23;3.8
10;24;3.6
10;25;3.8
10;26;3.6
10;27;2.8
10;28;3.6
10;29;3.8
10;30;3.5
10;31;2.9
11;1;2.3
11;2;3.2
11;3;2.9
11;4;2.9
11;5;2.5
11;6;2.6
11;7;2.7
11;8;2.7
11;9;2.3
11;10;2.5
11;11;2.3
11;12;1.8
11;13;2.6
11;14;2.1
11;15;1.5
11;16;2.5
11;17;2.1
11;18;1.6
11;19;2.1
11;20;2
11;21;1.7
11;22;1.6
11;23;1.4
11;24;1.8
11;25;1
11;26;1.2
11;27;1.4
11;28;1.4
11;29;1.1
11;30;1.3
12;1;1
12;2;0.8
12;3;0.8
12;4;0.9
12;5;0.8
12;6;1
12;7;0.9
12;8;0.9
12;9;0.9
12;10;1.3
12;11;1.2
12;12;1.4
12;13;1
12;14;1
12;15;1.3
12;16;0.8
12;17;1.3
12;18;1.3
12;19;1.3
12;20;1.3
12;21;1.1
12;22;1.3
12;23;1.1
12;24;0.8
12;25;1.1
12;26;0.8
12;27;0.7
12;28;0.8
12;29;0.9
12;30;1.2
12;31;1.5
